MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
58854.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.05	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.100000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.15000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.20000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.250000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.30000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.35000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.40000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.450000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.50000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.55000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.600000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.65000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.70000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.750000000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.80000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.85000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.90000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58854.950000000055	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58855.00000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58855.05000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58855.100000000064	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58855.15000000007	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58855.20000000007	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58855.25000000007	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58855.300000000076	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58855.35000000008	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
